"Site_ID","Sample_ID","Bout","Species","d18O.bound","d2H.bound"
"WREF_tower","21-070_WREF1-A-3","WREF1","Pseudotsuga menziesii",TRUE,TRUE
"WREF_tower","21-070_WREF1-A-4","WREF1","Pseudotsuga menziesii",TRUE,TRUE
"WREF_tower","21-070_WREF1-A-5","WREF1","Pseudotsuga menziesii",TRUE,TRUE
"WREF_tower","21-070_WREF1-B-1","WREF1","Tsuga heterophylia",TRUE,TRUE
"WREF_tower","21-070_WREF1-B-2","WREF1","Tsuga heterophylia",TRUE,TRUE
"WREF_tower","21-070_WREF1-B-3","WREF1","Tsuga heterophylia",TRUE,TRUE
"WREF_tower","21-070_WREF1-B-4","WREF1","Tsuga heterophylia",TRUE,TRUE
"WREF_tower","21-070_WREF1-B-5","WREF1","Tsuga heterophylia",TRUE,TRUE
"WREF_tower","21-070_WREF1-C-1","WREF1","Thuja plicata",TRUE,TRUE
"WREF_tower","21-070_WREF1-C-2","WREF1","Thuja plicata",TRUE,TRUE
"WREF_tower","21-070_WREF1-C-3","WREF1","Thuja plicata",FALSE,TRUE
